nbhd,nbhd_code,population,Pop_OBJECTID,Pop_2001_TOTAL,Pop_2001_HDB,Pop_2002_TOTAL,Pop_2002_HDB,Pop_2003_TOTAL,Pop_2003_HDB,Pop_2004_TOTAL,Pop_2004_HDB,Pop_2005_TOTAL,Pop_2005_HDB,Pop_2006_TOTAL,Pop_2006_HDB,Pop_2007_TOTAL,Pop_2007_HDB,Pop_2008_TOTAL,Pop_2008_HDB,Pop_2009_TOTAL,Pop_2009_HDB,Pop_2010_TOTAL,Pop_2010_HDB,Pop_2011_TOTAL,Pop_2011_HDB,Pop_2012_TOTAL,Pop_2012_HDB,Pop_2013_TOTAL,Pop_2013_HDB,Pop_2014_TOTAL,Pop_2014_HDB,Pop_2015_TOTAL,Pop_2015_HDB,Pop_2016_TOTAL,Pop_2016_HDB,Electricity_OBJECTID,Electricity_2005_AVRG,Electricity_2006_AVRG,Electricity_2007_AVRG,Electricity_2008_AVRG,Electricity_2009_AVRG,Electricity_2010_AVRG,Electricity_2011_AVRG,Electricity_2012_AVRG,Electricity_2013_AVRG,Electricity_2014_AVRG,Electricity_2015_AVRG,Electricity_2016_AVRG,system.index,Albedo_2003,Albedo_2004,Albedo_2005,Albedo_2006,Albedo_2007,Albedo_2008,Albedo_2009,Albedo_2010,Albedo_2011,Albedo_2012,Albedo_2013,Albedo_2014,Albedo_2015,Albedo_2016,Albedo_2017,Albedo_all,Cloudfree,ET_2003,ET_2004,ET_2006,ET_2007,ET_2008,ET_2009,ET_2010,ET_2011,ET_2012,ET_2013,ET_all_till_2014,NDVI_2003,NDVI_2004,NDVI_2005,NDVI_2006,NDVI_2007,NDVI_2008,NDVI_2009,NDVI_2010,NDVI_2011,NDVI_2012,NDVI_2013,NDVI_2014,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_all,NightLight,UHI_2014,UHI_2015,UHI_2016,UHI_2017,FL_2001,FL_2002,FL_2003,FL_2004,FL_2005,FL_2006,FL_2007,FL_2008,FL_2009,FL_2010,FL_2011,FL_2012,FL_2013,FL_2014,FL_2015,FL_2016,UHI_2003,UHI_2004,UHI_2005,UHI_2006,UHI_2007,UHI_2008,UHI_2009,UHI_2010,UHI_2011,UHI_2012,UHI_2013,UHI_2014_1,UHI_2015_1,UHI_2016_1,UHI_2017_1,PM2.5_1998,PM2.5_1999,PM2.5_2000,PM2.5_2001,PM2.5_2002,PM2.5_2003,PM2.5_2004,PM2.5_2005,PM2.5_2006,PM2.5_2007,PM2.5_2008,PM2.5_2009,PM2.5_2010,PM2.5_2011,PM2.5_2012,PM2.5_2013,PM2.5_2014,PM2.5_2015
CENTRAL WATER CATCHMENT,singapore_043,0,28,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0000363dc2843fddd55e,0,0.109063057,0.115319178,0.112704014,0.106707499,0.10645326,0.109173514,0.104859697,0.107609584,0.112573205,0.102610523,0.105853836,0.111273496,0.10714569,0.10599721,0.106778949,0.108243055,3.425284339,27.57417926,27.64874185,27.67228554,26.35008016,25.24007392,27.86180231,25.21997428,26.64162176,26.16480933,25.28529506,26.47922096,5796.27502,5517.802606,5978.316376,5286.586,5800.446669,6011.127463,6084.188762,5651.29389,5492.371631,5801.769846,5509.653498,5552.197686,5889.151313,6001.730476,4821.203108,5710.095911,12.18118011,12.30234768,11.88092329,11.29067032,11.67143861,0.054123344,0.022788777,0.017091582,0.019940179,0.037031762,0.028485971,0.031334568,0.008545791,0.051274747,0.062669135,0.025637374,0.042728956,0.022788777,0.202250392,0.04842615,0.022788777,11.81186115,11.43803049,11.63219418,10.95553159,11.66314536,11.26245557,11.70525177,12.15011566,11.32570676,11.82437811,11.50890031,12.30234768,11.88092329,11.29067032,11.67143861,8.184572411,9.184572411,9.208530297,13.18457241,13.19101848,13.50365277,14.13321874,14.1580361,20.17135797,13.15760636,14.18457241,19.46680275,12.14439192,10.19101848,15.98581865,14.19101848,12.77363558
NEWTON,singapore_044,7140,40,6270,60,6600,0,6210,0,6420,0,6760,0,6970,0,6640,0,5980,0,5990,0,6240,0,6390,0,6480,0,6560,0,6660,0,6920,0,7140,0,26,0,0,0,0,0,0,0,0,0,0,0,0,00002bb041bb71455d35,0,0.109598696,0.11875,0.104217408,0.116428571,0.122,0,0.112380161,0.113557258,0,0.098,NA,0.1368,NA,NA,0.081828685,0.108663155,3.820258349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3963.321608,3824.763787,3983.472508,3614.711268,4053.696556,3858.239336,3981.099942,3728.911235,3475.249692,3693.991041,3433.559464,3714.098134,3676.739295,3928.610422,2746.796597,3777.269091,69.74557223,20.01052921,17.7690835,16.05098689,14.17370122,0,0.190294957,0,0.285442436,0.095147479,0,0,0,1.141769743,0.285442436,0,0,0,0.190294957,0,0.190294957,17.49202547,17.06807473,17.84975532,16.45036885,17.35593639,16.93109305,17.72387174,17.43421215,17.14766275,17.17610146,18.02328946,20.01052921,17.7690835,16.05098689,14.17370122,,,,,,,,,,,,,,,,,
MARINE PARADE,singapore_045,48310,1,45750,24390,45230,23750,43240,22160,43020,21820,43720,21660,44350,21860,44920,22340,44870,22560,46400,22940,47320,23000,48350,22940,48510,22810,48870,22700,49010,22370,48730,21690,48310,21180,24,309.5,305.2,313.1,303.1,315.2,323.3,314.2,319.7,324.4,318.7,321,331.1,0000b32bbe08c99d3ac0,0,0.106414147,0.102234119,0.101543175,0.096252878,0.107803769,0.102808014,0.099634798,0.093764994,0.102955982,0.098611715,0.093248562,0.108356018,0.106344519,0.085285173,0.094796291,0.102386686,3.752691388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3200.418661,3414.9138,3381.008169,3015.925521,3663.811213,3502.490374,3326.98786,3301.948027,2927.212325,3263.36491,2913.088996,3190.705051,3552.133008,3266.584344,2438.017135,3277.599196,50.61997463,14.44317079,14.31858681,15.02213241,13.49113784,0,0.039588282,0,0,0.039588282,0,0.158353127,0.514647664,0.673000792,0.039588282,0.910530483,0.197941409,0.039588282,0.593824228,0.118764846,2.137767221,13.11045971,9.385087269,9.714059822,10.01070131,10.12976007,10.96567449,10.2478845,9.698889504,13.45376986,13.20212394,13.26203625,14.44317079,14.31858681,15.02213241,13.49113784,,,,,,,,,,,,,,,,,
DOWNTOWN CORE,singapore_046,3710,32,3600,2850,3520,2810,3350,2740,3280,2670,3270,2610,3360,2610,3310,2570,3450,2560,3710,2610,3720,2580,3690,2490,3690,2440,3730,2370,3700,2300,3720,2220,3710,2100,14,0,0,0,0,0,0,0,0,0,0,0,0,0000348f3a36334b6f0c,0,0.099712116,0.11215054,0.106191438,0.109790753,0.105963883,0.105086572,0.108083245,0.120802197,0.115465347,0.11574185,0.105747288,0.122077554,0.105200892,0.117539924,0.114891911,0.110425725,3.492659758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2995.96353,3230.431864,2871.083469,2920.265581,2839.009865,2609.301457,2532.404454,2358.681646,2308.222461,2632.411235,2353.35896,2706.681655,2325.76465,2531.109868,1561.507614,2653.671084,106.5696326,18.0992774,16.46038513,17.8742784,15.24833802,0,0.403225806,0,0.100806452,2.016129032,0.504032258,2.822580645,2.52016129,2.923387097,0,0.60483871,1.209677419,0,0.201612903,0,0,16.95629082,17.55505631,17.06825714,17.24846314,17.45165971,17.03772693,17.59820027,17.96582691,16.90509676,18.32903277,16.70137345,18.0992774,16.46038513,17.8742784,15.24833802,,,,,,,,,,,,,,,,,
KALLANG,singapore_047,100260,14,90250,78170,89010,76880,86480,75150,86560,74860,88050,75240,90070,75950,92210,76870,94630,78700,98220,80890,99560,80960,101980,83450,102910,84180,102840,83600,102250,82780,101210,81330,100260,79790,19,301.8,298.3,302.2,296.2,311.8,316.6,306,312,316.2,317.5,324.4,329.4,0000a8552487fb25ada5,0,0.115385388,0.115951081,0.123325011,0.12728712,0.119297208,0.112314398,0.112202358,0.123894487,0.122820074,0.121709605,0.118010096,0.125238141,0.115425644,0.107102194,0.116898342,0.120267875,3.575892857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3382.39524,3424.135344,3562.382029,3245.270316,3593.849411,3640.094371,3679.873098,3572.021185,3099.557857,3272.72376,3142.699574,3360.012191,3512.989485,3407.184101,2719.026006,3413.819767,84.19067798,19.07949649,18.58835511,18.60643886,15.70150421,0.182038835,0.121359223,0,0,0.424757282,0.72815534,0,0.121359223,1.031553398,0.242718447,0.72815534,0.303398058,0,0.121359223,0,0.970873786,16.74065716,16.8895562,16.92984782,16.53199651,16.68002285,17.83146965,16.88879796,18.14814674,16.61302228,17.36051084,15.81098748,19.07949649,18.58835511,18.60643886,15.70150421,9,10,10,13,14,14,14,14,20,13,14,20,12,11,16,14,13
BISHAN,singapore_048,90090,7,89220,71600,88550,70940,85860,68870,86710,67540,87770,67150,88830,67180,89590,67400,90270,67860,91010,68510,91300,68530,90810,68060,92710,68530,92790,67020,91920,66300,90700,65130,90090,63730,3,417.4,416.4,411.4,400.4,416.4,423.7,403.5,402,403.9,405.7,410.9,416.6,0000fa315a784a2cd489,0,0.132737416,0.137792076,0.14216803,0.131748971,0.12602967,0.14378688,0.135010909,0.136242296,0.133008701,0.128820112,0.131343748,0.141036102,0.138117118,0.133875675,0.122774268,0.136114834,3.429081633,29.14738765,30.71158202,21.90105042,30.90395506,17.38194191,27.77955791,27.00669529,26.30378151,28.91645049,25.82964012,26.38703921,3896.520674,3745.621406,4109.933784,3691.444543,3964.209361,3891.52957,3939.514286,3662.722493,3555.970098,3514.411535,3815.850643,3739.666038,3792.033784,4062.39035,2856.497143,3799.403556,53.45627981,18.87254909,17.86724107,17.22315061,17.84482831,0,0,0,1.036970243,0,0.045085663,0,0,0.045085663,0.315599639,0.045085663,0.090171326,0,0.270513977,0,0.901713255,17.67263847,17.17994775,18.08843927,16.71811914,18.6572555,15.94911692,18.10180366,18.65143075,16.35394642,16.91863408,18.75646642,18.87254909,17.86724107,17.22315061,17.84482831,9.170931423,10.17093142,10.3986694,13.98362334,14.17093142,14.21954964,14.53735926,14.82855681,20.68219038,13.83879222,14.98362334,20.90429887,13.0593654,11.30143296,16.90634596,15.30143296,13.45598772
TOA PAYOH,singapore_049,122780,35,119210,108120,117730,106770,114320,103830,114490,103980,114530,103950,115110,104550,116310,105590,118990,107540,122910,110450,124650,111800,125570,112040,126180,111830,127540,112380,126720,111480,124940,109040,122780,107070,50,319.5,318.7,319.2,311,325.7,336,327.3,324.1,326.3,331.1,336.1,343.8,00004a1ebbd57f524a85,0,0.123569303,0.136149067,0.132259907,0.135271748,0.137629153,0.141294972,0.137183408,0.132370851,0.129936445,0.131296757,0.126028571,0.141928931,0.134411534,0.126056818,0,0.131876109,3.520584488,18.57293265,8.622790566,12.75491617,12.84119068,8.287183859,8.607708156,8.73993322,7.902173913,12.93085394,8.47745098,11.78008243,3478.898772,3441.482769,3654.7281,3229.941066,3826.081244,3499.283679,3649.365753,3554.814475,3274.717028,3314.776065,3582.043291,3571.360165,3448.115665,3552.847878,2516.37334,3500.865763,64.81033674,19.699409,18.97742658,18.441421,17.57827143,0,0,0,0.099403579,1.441351889,0.795228628,0.099403579,0,0.248508946,0.447316103,0.546719682,0.049701789,0,1.540755467,0,1.192842942,18.39060176,18.24192509,18.89023721,16.69151158,18.60456499,18.24701435,19.11102179,19.79217698,17.36263327,17.98121628,18.83614094,19.699409,18.97742658,18.441421,17.57827143,9,10,10,13.24567901,13.86481481,14,14,14,20.24567901,13.10308642,14.24567901,20,12.06604938,11,16,14.52592593,13
HOUGANG,singapore_050,222870,17,205200,171880,205980,172490,204330,170600,205240,170660,206680,170610,208460,171710,210360,172580,213620,173940,216760,176070,216700,176770,217220,176550,217440,175700,217900,175230,219440,173230,222310,173930,222870,171980,16,405.9,401.7,401.5,392.3,408.2,417.1,399.9,399.4,397.2,394.8,397.4,405.6,00003153bc800c59f292,0,0.14013817,0.148243349,0.146868553,0.138244356,0.135308977,0.130793285,0.133814259,0.14077705,0.131828116,0.13730519,0.141,0.139847102,0.163484211,NA,0,0.140409149,3.480186644,11.96622074,8.662541806,18.89715719,19.01889632,12.00117057,13.11137124,9.144314381,8.319565217,21.87993311,11.71371237,14.89357624,2998.620342,3002.702858,3243.617969,3057.368758,3423.337684,3130.955286,3423.451873,3407.101294,3216.686257,3159.262876,3121.697536,3205.373798,3309.893555,3298.263965,2753.18278,3205.852123,61.93884862,20.86049807,20.50963674,21.18481301,20.14214993,0,3.144654088,0.314465409,0.691823899,1.949685535,0.251572327,0.251572327,0.062893082,0.125786164,0.377358491,4.025157233,3.522012579,1.761006289,14.1509434,4.402515723,1.886792453,19.92769922,19.22307038,20.66092632,17.31651578,20.43990446,18.5742389,19.94925561,19.44171966,19.08412366,19.71993126,19.66275993,20.86049807,20.50963674,21.18481301,20.14214993,9,10,10,13,13.14268143,13.14268143,14,14,20,13,14,20,12,10.07380074,16,14,13
SERANGOON,singapore_051,119990,27,121060,77740,120880,77300,117900,75490,118230,74420,120130,74350,121290,74690,122060,74910,122750,75570,124550,76520,124780,76080,123610,75320,123320,75110,122610,74310,122100,72280,120670,70420,119990,68850,41,401.7,397.7,397.4,390.6,402.7,410.1,394.1,395.2,397.1,398.2,406.6,410.6,0000570e933bd2ea7239,0,0.137582435,0.14336503,0.132459884,0.126679587,0.143065474,0.145706192,0.135058747,0.14399296,0.122352941,0.135773682,0.127151181,NA,0.134571429,NA,0,0.136367602,3.506068736,17.83634058,12.23011675,12.07378019,8.207721417,8.298232689,18.51712963,14.65504831,8.094577295,15.35926329,8.132878422,13.25105175,3097.127885,3209.686937,3396.130068,3072.618295,3490.199593,3210.378939,3385.822071,3120.261469,3176.139967,2976.274535,3168.909361,3114.238705,3144.060193,3246.74133,2724.123419,3197.888192,53.75693767,20.47688242,19.54060054,18.5513121,19.83553661,0,0,0,0,0,0.288600289,0,0,0.432900433,0,0,0,0.144300144,0.144300144,0,4.473304473,18.97343952,18.70921014,19.64100913,15.96215422,19.87707925,16.97033927,19.37782491,18.09415912,12.48612808,18.55140665,18.99626391,20.47688242,19.54060054,18.5513121,19.83553661,9,10,10,13,13.83479465,13.96908168,14,14.25749885,20,13,14,20,12,10.75957545,16,14.65297647,13
BEDOK,singapore_052,287170,6,284770,207300,285320,203070,278920,198640,278960,197130,280060,196270,281420,196200,284150,197410,285940,198790,291990,202950,294520,203560,295380,204160,295220,202460,294080,199380,293110,197270,289750,193060,287170,189240,2,348.7,345.4,345.5,335.3,349.6,358.6,347.9,349.5,349.6,351.7,357.6,363.5,0000beb0c383484ad520,0,0.119756813,0.111009287,0.126698739,0.119000024,0.126003088,0.101872571,0.118343808,0.112380116,0.112972466,0.110519231,0.107353051,0.117248313,0.1168144,0.109513043,0.095956333,0.118642138,3.751013896,20.24992088,16.55476503,18.07671754,15.90476503,14.60436226,18.37558405,8.941137835,12.59791136,22.04590932,18.6017554,17.20417507,3756.507163,3731.695425,4049.321709,3755.815853,4088.474749,3881.153591,3962.73866,3963.969898,3811.163066,4008.863993,3576.672752,3940.007916,3917.908053,3631.095593,2913.13596,3836.464,53.10242431,19.32662091,19.25931674,20.73674336,18.24136939,0,0.151024811,0,0.021574973,0.151024811,0.021574973,0.086299892,0.323624595,0.107874865,0.086299892,1.100323625,1.186623517,0.064724919,1.121898598,0.194174757,4.05609493,19.87202978,18.83167017,18.91076867,18.10772689,18.3424374,19.47483634,18.84374907,18.4514836,19.16122696,19.14487491,19.68834761,19.32662091,19.25931674,20.73674336,18.24136939,,,,,,,,,,,,,,,,,
ROCHOR,singapore_053,14270,55,17760,13670,17140,13280,14900,11920,14720,11750,14970,11980,15300,12140,15470,12310,15570,12470,15930,12610,15660,12400,15440,12220,15250,12100,15080,11850,14750,11610,14590,11370,14270,11120,37,312.7,312.5,320,314.7,326,333.3,324.1,328.9,329.6,331.7,339.8,352.5,0000dea5aaf3efbf3646,0,0.115595602,0.123341418,0.116332406,0.131589961,0.124449187,0.121418612,0.123227266,0.128769753,0.1365,0.124333333,NA,0.129623904,0.126917304,0.122213008,0.103,0.122951041,3.711083945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3397.225683,3559.571489,3571.374189,3311.361858,3627.405018,3589.373977,3696.546295,3401.523865,3041.049239,3322.118402,3127.406187,3323.327522,3205.470182,3487.475178,2846.777343,3402.060745,100.1689055,17.5512355,16.35305295,17.46846031,14.67957114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.95682295,16.75537736,16.37839779,16.73516356,16.74991153,16.7422029,17.18148211,18.22244894,16.06647029,17.72180444,16.31764575,17.5512355,16.35305295,17.46846031,14.67957114,,,,,,,,,,,,,,,,,
MARINA EAST,singapore_054,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0000029492380b8389ea,0,0.08734314,0.087425858,0.091763983,0.0928214,0.096043623,0.085091699,0.095026781,0.095182632,0.086560598,0.099127984,0.100219079,0.10468927,0.10709657,0.087685635,0.094531301,0.094601127,3.462844037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3668.809379,4672.928256,3839.678885,3582.995716,4246.403273,3822.394127,3120.886444,3127.738661,2666.492248,2876.128179,3047.690607,3324.501105,3276.017995,3664.238779,2844.750581,3501.317502,51.05773915,12.00831452,11.22329381,12.09650369,9.978934257,0,0.095419847,0,0,19.7519084,0.190839695,0.381679389,1.145038168,5.057251908,0.858778626,4.29389313,0,0.095419847,2.099236641,0,0.763358779,10.14656329,10.82968313,10.53167484,10.80639536,12.47463241,13.07595505,11.30571121,11.88460185,10.4841026,11.63601256,10.55152493,12.00831452,11.22329381,12.09650369,9.978934257,,,,,,,,,,,,,,,,,
NOVENA,singapore_055,47640,15,42010,22000,41590,21490,40420,21130,41030,20850,43040,21240,44650,21910,45270,22220,45060,22800,46140,23250,46640,23190,46820,23030,47080,22880,47720,22710,47790,22340,47990,21890,47640,21340,28,339.1,335.9,338.3,333,350.8,356.9,346.2,347.1,350.4,351.8,359.4,363.3,00001715bf40bc60c772,0,0.117238606,0.121972834,0.124347362,0.116754325,0.116776211,0.117200267,0.119585763,0.122658924,0.122083146,0.118664689,0.113714995,0.128069356,0.121854691,0.109413399,0.115254998,0.121012401,3.691924698,24.1701877,16.7350348,11.30731022,22.14740152,10.99221414,17.54282385,11.55147801,16.58204367,21.08160314,11.05758156,16.51556637,4891.496615,4487.698079,5020.291928,4219.357458,5068.892774,4706.34758,4939.535126,4750.330685,4498.091564,4540.712262,4561.673467,4616.779802,4517.17086,4890.329339,3651.326036,4689.191475,52.91840852,18.14024506,16.99787297,15.57080806,15.14485366,0.128893663,0,0.021482277,0.021482277,0.537056928,0.021482277,0,0,0.021482277,0.064446831,0.021482277,0,0.021482277,0.494092374,3.523093448,0.386680988,16.32842534,16.28682298,16.84423555,15.56503649,16.36990741,16.34834344,16.9398692,17.85290336,16.64895289,16.22790534,16.75916762,18.14024506,16.99787297,15.57080806,15.14485366,9,10,10,13.91413703,14,14,14.17606245,14.35906331,20.91413703,13.91413703,14.91413703,20.04509974,12.52385082,11,16.04509974,14.91413703,13
